title;author;journal;year;source;pages;volume;abstract;document_type;doi;url;selection_criteria;status;Keywords;domain_suggested
A Spatiotemporal Analysis of Teacher Practices in Supporting Student Learning and Engagement in an AI-Enabled Classroom;Karumbaiah, Shamya and Borchers, Conrad and Shou, Tianze and Falhs, Ann-Christin and Liu, Pinyang and Nagashima, Tomohiro and Rummel, Nikol and Aleven, Vincent;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2023;Scopus;450 – 462;13916 LNAI;Research indicates that teachers play an active and important role in classrooms with AI tutors. Yet, our scientific understanding of the way teacher practices around AI tutors mediate student learning is far from complete. In this paper, we investigate spatiotemporal factors of student-teacher interactions by analyzing student engagement and learning with an AI tutor ahead of teacher visits (defined as episodes of a teacher being in close physical proximity to a student) and immediately following teacher visits. To conduct such integrated, temporal analysis around the moments when teachers visit students, we collect fine-grained, time-synchronized data on teacher positions in the physical classroom and student interactions with the AI tutor. Our case study in a K12 math classroom with a veteran math teacher provides some indications on factors that might affect a teacher’s decision to allocate their limited classroom time to their students and what effects these interactions have on students. For instance, teacher visits were associated more with students’ in-the-moment behavioral indicators (e.g., idleness) than a broader, static measure of student needs such as low prior knowledge. While teacher visits were often associated with positive changes in student behavior afterward (e.g., decreased idleness), there could be a potential mismatch between students visited by the teacher and who may have needed it more at that time (e.g., students who were disengaged for much longer). Overall, our findings indicate that teacher visits may yield immediate benefits for students but also that it is challenging for teachers to meet all needs – suggesting the need for better tool support. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.;Conference paper;10.1007/978-3-031-36272-9_37;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164931249&doi=10.1007%2f978-3-031-36272-9_37&partnerID=40&md5=7ee0cdfe6c2930b92c83c05179b658d2;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;"Human-AI Partnership; Multimodality; Spatial analytics; Student Engagement; Teaching; Temporality";Analítica/EDM
Counter-factual Analysis of On-Line Math Tutoring Impact on Low-income High School Students;Alhossaini, Maher and Aloqeely, Mohammed;IEEE;2021;Web Of Science;1063--1068;;The importance of understanding on-line tutoring impact has increased dramatically, especially after the COVID-19 pandemic. However, deep causal concepts about on-line tutoring are still lacking, especially on economically disadvantaged students. This paper is an observational study that targets low-income high school students in Saudi Arabia with high failing risk. The paper aims at (1) finding on-line math tutoring impact on needy students who already took tutoring, and (2) identifying and characterizing students that need tutoring to pass. We use observational data collected in a student registration process to build two models: (1) a Bayesian multi-level regression causal model, then (2) a counter-factual model. Results show that the models gave statistically significant estimates. In model 1, the average causal impact of maximum tutoring minutes on the math mark was +4.9 (out of 100). In model 2, the counter-factual maximum impact on tutored students was +5.3. We also estimate that only 1.9\% of students needed the tutoring to avoid failing (2.8\% of the enrolled), and we show their characteristics.;Article;10.1109/ICMLA52953.2021.00174;;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;on-line tutoringcausalitycounter-factualslow-income studentsBayesian inferencemachine learning;Estadística/Probabilidad
Examining computational thinking processes in modeling unstructured data;Jiang, Shiyan and Qian, Yingxiao and Tang, Hengtao and Yalcinkaya, Rabia and Rose, Carolyn P. and Chao, Jie and Finzer, William;EDUCATION AND INFORMATION TECHNOLOGIES;2023;Web Of Science;4309--4333;28;"As artificial intelligence (AI) technologies are increasingly pervasive in our daily lives, the need for students to understand the working mechanisms of AI technologies has become more urgent. Data modeling is an activity that has been proposed to engage students in reasoning about the working mechanism of AI technologies. While Computational thinking (CT) has been conceptualized as critical processes that students engage in during data modeling, much remains unexplored regarding how students created features from unstructured data to develop machine learning models. In this study, we examined high school students' patterns of iterative model development and themes of CT processes in iterative model development. Twenty-eight students from a journalism class engaged in refining machine learning models iteratively for classifying negative and positive reviews of ice cream stores. This study draws on a theoretical framework of CT processes to examine students' model development processes. The results showed that students (1) demonstrated three patterns of iterative model development, including incremental, filter-based, and radical feature creation; (2) engaged in complex reasoning about language use in diverse contexts in trial and error, (3) leveraged multiple data representations when applying mathematical and computational techniques. The results provide implications for designing accessible AI learning experiences for students to understand the role and responsibility of modelers in creating AI technologies and studying AI learning experiences from the angle of CT processes.";Article;10.1007/s10639-022-11355-3;;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;AI educationData modelingComputational thinkingIterative model developmentTrial and error;Geometría
An In-Depth Methodology to Predict At-Risk Learners;Ben Soussia, Amal and Roussanaly, Azim and Boyer, Anne;Lecture Notes in Computer Science;2021;Web Of Science;193--206;12884;Nowadays, the concept of education for all is gaining momentum thanks to the widespread use of e-learning systems around the world. The use of e-learning systems consists in providing learning content via the Internet to physically dispersed learners. The main challenge in this regard is the high fail rate particularly among k-12 learners who are our case study. Therefore, we established an in-depth methodology based on machine learning models whose objectives are the early prediction of at-risk learners and the diagnosis of learning problems. Going through this methodology was of a great importance thus it starts by identifying the most relevant learning indicators among performance, engagement, regularity and reactivity. Then, based on these indicators, we extract and select the adequate learning features. For the modeling part of this methodology, we apply machine learning models among k-nearest neighbors (K-nn), Support Vector Machine (SVM), Random Forest and Decision tree on a real data sample of 1361 k-12 learners. The evaluation step consists in comparing the ability of each model to correctly identify the class of learners at-risk of failure using both accuracy and False Positive Rate (FPR) measures.;Book;10.1007/978-3-030-86436-1_15;;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;At-risk learnersEarly predictionMethodologyLearning indicatorsMachine learningEvaluation;Evaluación/Predicción
Development and Application of an Intelligent Assessment System for Mathematics Learning Strategy among High School Students-Take Jianzha County as an Example;Wang, Guangming and Chen, Xia and Zhang, Dongli and Kang, Yueyuan and Wang, Fang and Su, Mingyu;SUSTAINABILITY;2022;Web Of Science;12265;14;"To improve the quality of mathematics learning for high school students in economically disadvantaged areas, and promote education equity and sustainable development, this study developed the Mathematics Learning Strategies Intelligent Assessment and Strategy Implementation System by using artificial intelligence technology. The system fuses assessment scales, a set of norms, improvement strategies, and the intelligent assessment and strategy implementation program into an organic whole. The system can intelligently output all participants' diagnosis results of the mathematics learning strategy in batches and automatically propose targeted improvement strategies for every participant. By applying the intelligent system to Jianzha County, Huangnan Tibetan Autonomous Prefecture, Qinghai Province, China, the results show that the mathematical learning strategies of high school students in Jianzha County were at a middle level; mathematical cognitive strategies and mathematical resource-management strategies need to be improved. The system's effectiveness in practical applications was later tested via both quantitative methods, such as questionnaire surveys and testing, and qualitative methods, such as interviews, as well as evaluation by self and others. By intervening with participants according to the strategy implementation program provided by the system, it was found that their mathematics learning strategy level improved. The results of the study show that the system can accurately diagnose the level of mathematics learning strategies of high school students and that interventions based on the improvement measures can improve students' mathematics learning strategy and mathematics achievements, indicating that the system is effective.";Article;10.3390/su141912265;;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;"mathematics learning strategies; intelligent assessment and strategy implementation system; high school students; intelligent diagnosis; improvement strategy; mathematics achievements";Evaluación/Predicción
A machine learning approach to investigating the effects of mathematics dispositions on mathematical literacy;Gabriel, Florence and Signolet, Jason and Westwell, Martin;INTERNATIONAL JOURNAL OF RESEARCH \& METHOD IN EDUCATION;2018;Web Of Science;306--327;41;Mathematics competency is fast becoming an essential requirement in ever greater parts of day-to-day work and life. Thus, creating strategies for improving mathematics learning in students is a major goal of education research. However, doing so requires an ability to look at many aspects of mathematics learning, such as demographics and psychological dispositions, in an integrated way as part of the same system. Large-scale assessments such as the Programme for International Student Assessment (PISA) provide an accessible and large volume of coherent data, and this gives researchers the opportunity to employ data-driven approaches to gain an overview of the system. For these reasons, we have used machine learning to explore the relationships between psychological dispositions and mathematical literacy in Australian 15-year-olds using the PISA 2012 data set. Our results from this strongly data-driven approach re-affirm the primacy of mathematics self-efficacy and highlight novel complex interactions between mathematics self-efficacy, mathematics anxiety and socio-economic status. In this paper, we demonstrate how education researchers can usefully employ data-driven modelling techniques to find complex non-linear relationships and novel interactions in a multidimensional data set.;Article;10.1080/1743727X.2017.1301916;;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;Machine learningdata analysisPISAmathematics educationdispositionsdemographicsgradient boostingpsychology;Evaluación/Predicción
Deep Learning Discrete Calculus (DLDC): a family of discrete numerical methods by universal approximation for {STEM} education to frontier research;Saha, Sourav and Park, Chanwook and Knapik, Stefan and Guo, Jiachen and Huang, Owen and Liu, Wing Kam;COMPUTATIONAL MECHANICS;2023;Web Of Science;311--331;72;The article proposes formulating and codifying a set of applied numerical methods, coined as Deep Learning Discrete Calculus (DLDC), that uses the knowledge from discrete numerical methods to interpret the deep learning algorithms through the lens of applied mathematics. The DLDC methods aim to leverage the flexibility and ever-increasing resources of deep learning and rich literature on numerical analysis to formulate a general class of numerical methods that can directly use data with uncertainty to predict the behavior of an unknown system as well as elevate the speed and accuracy of numerical solution of the governing equations for known systems. The article is structured into two major sections. In the first section, the building blocks of the DLDC methods are presented and deep learning structures analogous to traditional numerical methods such as finite difference and finite element methods are constructed with a view to incorporate these techniques in Science, Technology, Engineering, Mathematics syllabus for K-12 students. The second section builds upon the building blocks of the previous discussion and proposes new solution schemes for differential and integral equations pertinent to multiscale mechanics. Each section is accompanied by a mathematical formulation of the numerical methods, analogous DLDC formulation, and suitable examples.;Article;10.1007/s00466-023-02292-0;;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;Numerical methodsDiscrete calculusKernel learningPartial differential equationConvolution;Cálculo
AI-based adaptive personalized content presentation and exercises navigation for an effective and engaging E-learning platform;Sayed, Wafaa S. and Noeman, Ahmed M. and Abdellatif, Abdelrahman and Abdelrazek, Moemen and Badawy, Mostafa G. and Hamed, Ahmed and El-Tantawy, Samah;MULTIMEDIA TOOLS AND APPLICATIONS;2023;Web Of Science;3303--3333;82;Effective and engaging E-learning becomes necessary in unusual conditions such as COVID-19 pandemic, especially for the early stages of K-12 education. This paper proposes an adaptive personalized E-learning platform with a novel combination of Visual/Aural/Read, Write/Kinesthetic (VARK) presentation or gamification and exercises difficulty scaffolding through skipping/hiding/ reattempting. Cognitive, behavior and affective adaptation means are included in developing a dynamic learner model, which detects and corrects each student's learning style and cognitive level. As adaptation targets, the platform provides adaptive content presentation in two groups (VARK and gamification), adaptive exercises navigation and adaptive feedback. To achieve its goal, the platform utilizes a Deep Q-Network Reinforcement Learning (DQN-RL) and an online rule-based decision making implementation. The platform interfaces front-end dedicated website and back-end adaptation algorithms. An improvement in learning effectiveness is achieved comparing the post-test to the pre-test in a pilot experiment for grade 3 mathematics curriculum. Both groups witnessed academic performance and satisfaction level improvements, most importantly, for the students who started the experiment with a relatively low performance. VARK group witnessed a slightly more improvement and higher satisfaction level, since interactive activities and games in the kinesthetic presentation can provide engagement, while keeping other presentation styles available, when needed.;Article;10.1007/s11042-022-13076-8;;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;Dynamic learner modelGamificationLearning stylePrimary school mathematicsReinforcement learning;Tutoría Inteligente
MONTO: A Machine-Readable Ontology for Teaching Word Problems in Mathematics;Lalingkar, Aparna and Ramanathan, Chandrashekar and Ramani, Srinivasan;EDUCATIONAL TECHNOLOGY & SOCIETY;2015;Web Of Science;197--213;18;The Indian National Curriculum Framework has as one of its objectives the development of mathematical thinking and problem solving ability. However, recent studies conducted in Indian metros have expressed concern about students' mathematics learning. Except in some private coaching academies, regular classroom teaching does not include problem solving in mathematics, but is limited to mere practice exercises and drills of known exercises. For describing mathematical thinking, Schoenfeld gave a framework containing four components: resources, heuristics, controls and beliefs. Beginning in childhood we develop an ontology for the ideas we learn, and this ontology evolves as we continue learning. Ontologies used for teaching need to incorporate elements of mathematical thinking popularized by problem solving experts. So teaching that makes use of such ontologies of problems, problem solving strategies, and tasks would be beneficial to students. In this paper we identify the gaps in the literature on teaching problem solving, and discuss how and why ontologies can be used for teaching problem solving in mathematics at the high school level. As a proof of concept, we describe the method by which an ontology named MONTO has been created for teaching problem solving in mathematics, and give examples of its use. We describe the MONTO ontology and compare it with some other teaching ontologies described in the literature. We developed and evaluated the MONTO ontology for Surface Area and Volume (3D Solids) problems taught as part of the national curriculum in India, and the results obtained were satisfactory: MONTO was found to be 94\% robust against unseen problems in different curricula for the same domain.;Article;;;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;"Teaching problem solving; Pedagogy ontology; Ontology-based student model; Application of ontology; Knowledge representation";Teaching problem solving
Trends and Issues in STEM plus C Research: A  Bibliometric Perspective;Du, Hanxiang and Xing, Wanli and Pei, Bo and Zeng, Yifang and Lu, Jie and Zhang, Yuanlin;;2022;Web Of Science;69--80;;The integration of computing education or computational thinking with STEM majors has gained substantial research interests. A number of research papers of the topic were published. This work is to provide a comprehensive overview of literature in the STEM + C field through both bibliometric and content analysis. We conducted a systematic search to identify articles and utilized machine-learning-based techniques to analyze these articles. Common bibliometric indicators were used for bibliometric analysis. Machinelearning-based text mining techniques such as LDA topic modelling and flow analysis were used for content analysis. Our analysis spotted STEM + C publication trends, popular topics and their dynamics over time. This work also pinpointed commonly used methodologies for integration study for both PK, K-12 and higher education. Meanwhile, several future research directions were identified. This work contributes to the literature by systematically examining the existing literature and bringing machine-learning-based data mining techniques to the analysis.;Article;10.5220/0010998800003182;;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;STEM plus CComputational ThinkingComputing Education;Pensamiento Computacional
