"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"3IC39B68","journalArticle","2023","Moore, Robert L.; Jiang, Shiyan; Abramowitz, Brian","What Would the Matrix Do?: A Systematic Review of K-12 AI Learning Contexts and Learner-Interface Interactions","Journal of Research on Technology in Education","","1945-0818","","","This systematic review examines the empirical literature published between 2014 and 2021 that situates artificial intelligence within K-12 educational contexts. Our review synthesizes 12 articles and highlights artificial intelligence's instructional contexts and applications in K-12 learning environments. We focused our synthesis on the learning contexts and the learner-interface interactions. Our findings highlight that most of intelligent systems are being deployed in math or informal settings. Also, there are opportunities for more collaboration to facilitate teaching and learning in domain-specific areas. Additionally, researchers can explore how to implement more collaborative learning opportunities between intelligent tutors and learners. We conclude with a discussion of the reciprocal nature of this technology integration.","2023","2025-05-02 01:52:39","2025-05-02 01:52:39","","7-20","","1","55","","","","","","","","","","English","","","","","","","ERIC Number: EJ1377775","","","http://eric.ed.gov/?id=EJ1377775","Artificial Intelligence; Computer Assisted Instruction; Cooperative Learning; Elementary Secondary Education; Informal Education; Intelligent Tutoring Systems; Mathematics Instruction; Technology Integration; Technology Uses in Education","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LZ5MLQGE","journalArticle","2024","Pörn, Ray; Braskén, Mats; Wingren, Mattias; Andersson, Sören","Attitudes towards and Expectations on the Role of Artificial Intelligence in the Classroom among Digitally Skilled Finnish K-12 Mathematics Teachers","LUMAT: International Journal on Math, Science and Technology Education","","2323-7112","","","The growing impact and importance of artificial intelligence in society has led to an increasing interest for the potential of artificial intelligence as an educational tool in schools to aid both students and teachers. In this study we investigate digitally skilled K-12 mathematics teachers' (N=85) attitudes towards and expectations on the role of artificial intelligence in the classroom. The study was done by conducting and analyzing the results of a web-based survey among Swedish and Finnish speaking mathematics teachers using a mixed methods strategy. The Will, Skill and Tool framework was used for the analysis. The survey was done before the introduction of ChatGPT-3. The results indicate that the teachers' attitudes toward AI tools in school are characterized by interest, openness, and awareness. Teachers have a balanced view on the possibilities and risks of AI use in school. However, the teachers also stress that there is a risk that AI tools will shift the focus from learning key mathematical skills towards learning and interaction with the AI tools themselves. The research concluded that the K-12 mathematics teachers surveyed have broad experience with digital tools and will likely become early adopters of AI tools in the classroom.","2024","2025-05-02 01:52:39","2025-05-02 01:52:39","","53-77","","3","12","","","","","","","","","","English","","","","","","","ERIC Number: EJ1426984","","","http://eric.ed.gov/?id=EJ1426984","Artificial Intelligence; Elementary Secondary Education; Technology Uses in Education; Educational Technology; Expectation; Foreign Countries; Mathematics Education; Mathematics Teachers; Teacher Attitudes; Technological Literacy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KZRNAMFV","journalArticle","2024","Guo, Shuchen; Zheng, Yuanyuan; Zhai, Xiaoming","Artificial Intelligence in Education Research during 2013-2023: A Review Based on Bibliometric Analysis","Education and Information Technologies","","1573-7608","","","Research on Artificial Intelligence in Education (AIED) has rapidly progressed in recent years, and understanding the research trends and development is essential for technological innovations and implementations in education. Using a bibliometric analysis of 6843 publications from Web of Science and Scopus, we found that China, US, India, Spain, and Germany led the research profuctivity. AIED research is concerned more with higher education compared to K-12 education. Fifteen research trends emerged from the analysis, such as Educational Robots and Large Data Mining. Research has primarily leveraged technologies of machine learning, decision trees, deep learning, speech recognition, and computer vision in AIED. The major implementations of AI include educational robots, automated grading, recommender systems, learning analytics, and intelligent tutoring systems. Among the implementations, a majority of AIED research was conducted in seven major subject domains, chief among them being science, technology, engineering and mathematics (STEM) and language disciplines, with a focus on computer science and English education.","2024","2025-05-02 01:52:39","2025-05-02 01:52:39","","16387-16409","","13","29","","","","","","","","","","English","","","","","","","ERIC Number: EJ1443861","","","http://eric.ed.gov/?id=EJ1443861","Artificial Intelligence; Technology Integration; Technology Uses in Education; Educational Research; Educational Trends; Technological Advancement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SR2YDYKS","journalArticle","2023","Tang, Jingwan; Zhou, Xiaofei; Wan, Xiaoyu; Daley, Michael; Bai, Zhen","ML4STEM Professional Development Program: Enriching K-12 STEM Teaching with Machine Learning","International Journal of Artificial Intelligence in Education","","1560-4306","","","The advances of machine learning (ML) in scientific discovery (SD) reveal exciting opportunities to utilize it as a cross-cutting tool for inquiry-based learning in K-12 STEM classrooms. There are, however, limited efforts on providing teachers with sufficient knowledge and skills to integrate ML into teaching. Our study addresses this gap by proposing a professional development (PD) program named ML4STEM. Based on existing research on supporting teacher learning in innovative technology integration, ML4STEM is composed of Teachers-as-Learners and Teachers-as-Designers sessions. It integrates an accessible ML learning platform designed for students with limited math and computing skills. We implemented this PD program and evaluated its effectiveness with 18 K-12 STEM teachers. Findings confirm that ML4STEM successfully develops teachers' understanding of teaching STEM with ML as well as fosters positive attitudes toward applying the ML as an in-class teaching technology. Discussions on the implications of our findings from ML4STEM are provided for future PD researchers and designers.","2023-03","2025-05-02 01:52:39","2025-05-02 01:52:39","","185-224","","1","33","","","","","","","","","","English","","","","","","","ERIC Number: EJ1369127","","","http://eric.ed.gov/?id=EJ1369127","Artificial Intelligence; Technology Integration; Teacher Attitudes; Educational Innovation; Elementary School Teachers; Faculty Development; Program Effectiveness; Secondary School Teachers; STEM Education","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YASIYSWE","journalArticle","2024","Li, Chenglu; Xing, Wanli; Leite, Walter","Using Fair AI to Predict Students' Math Learning Outcomes in an Online Platform","Interactive Learning Environments","","1744-5191","","","As instruction shifts away from traditional approaches, online learning has grown in popularity in K-12 and higher education. Artificial intelligence (AI) and learning analytics methods such as machine learning have been used by educational scholars to support online learners on a large scale. However, the fairness of AI prediction in educational contexts has received insufficient attention, which can increase educational inequality. This study aims to fill this gap by proposing a fair logistic regression (Fair-LR) algorithm. Specifically, we developed Fair-LR and compared it with fairness-unaware AI models (Logistic Regression, Support Vector Machine, and Random Forest). We evaluated fairness with equalized odds that caters to statistical type I and II errors in predictions across demographic subgroups. The results showed that the Fair-LR could generate desirable predictive accuracy while achieving better fairness. The findings implied that the educational community could adopt a methodological shift to achieve accurate and fair AI to support learning and reduce bias.","2024","2025-05-02 01:52:39","2025-05-02 01:52:39","","1117-1136","","3","32","","","","","","","","","","English","","","","","","","ERIC Number: EJ1425748","","","http://eric.ed.gov/?id=EJ1425748","Artificial Intelligence; Accuracy; Algebra; Algorithms; Electronic Learning; Error of Measurement; High School Seniors; Mathematics Achievement; Prediction; Student Evaluation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QJ8ZET37","journalArticle","2024","Huang, Xiaodong; Qiao, Chengche","Enhancing Computational Thinking Skills through Artificial Intelligence Education at a STEAM High School","Science & Education","","1573-1901","","","Artificial intelligence is the unification of philosophy, cognitive science, mathematics, neurophysiology, psychology, computer science, information theory, cybernetics, and uncertainty theory. Therefore, it is feasible and necessary to utilize STEAM (Science, Technology, Engineering, Liberal Arts, and Mathematics) education to learn artificial intelligence courses. Computational thinking skills are of vital importance to high school students. This paper integrates artificial intelligence education with STEAM model with the aim of enhancing students' computational thinking skills. First, we investigate the feasibility of this model and set teaching objectives about artificial intelligence curricula. Second, artificial intelligence curricula with STEAM model is proposed to carry out interdisciplinary artificial intelligence knowledge acquisition. Finally, the effects of this model on students' computational thinking skills, learning motivation, and self-efficacy are evaluated. One hundred thirty-six participants are recruited from a high school in Beijing. The results reveal that the integration of artificial intelligence education with STEAM is able to promote computational thinking skills, learning motivation, and self-efficacy of the students in the experimental group. The main implication of this study is that artificial intelligence education in light of STEAM model can be used as a teaching guide for the combination of artificial intelligence curricula with multi-disciplinary knowledge at the primary and secondary levels.","2024","2025-05-02 01:52:39","2025-05-02 01:52:39","","383-403","","2","33","","","","","","","","","","English","","","","","","","ERIC Number: EJ1417737","","","http://eric.ed.gov/?id=EJ1417737","Artificial Intelligence; Foreign Countries; STEM Education; Art Education; Computer Science Education; High School Students; Interdisciplinary Approach; Learning Motivation; Self Efficacy; Teaching Methods; Thinking Skills","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V3X7N73Z","journalArticle","2021","Jones, Joshua","Integrating Machine Learning in Secondary Geometry","Mathematics Teacher: Learning and Teaching PK-12","","0025-5769","","","Despite the importance of artificial intelligence in our daily lives, it has yet to be integrated into K-12 classrooms in a meaningful way. This article explores a lesson in which geometry students use Euclidean distance to implement a functional machine learning algorithm in Google Sheets™. The assignment requires students to apply the distance formula to a machine learning context, break a data set into parts to establish relationships among its components, synthesize the analysis to implement an algorithm in Google Sheets, and use test data to evaluate the systems' accuracy.","2021-04","2025-05-02 01:52:39","2025-05-02 01:52:39","","325-329","","4","114","","","","","","","","","","English","","","","","","","ERIC Number: EJ1295281","","","http://eric.ed.gov/?id=EJ1295281","Artificial Intelligence; Mathematics Instruction; Technology Uses in Education; Educational Technology; High School Students; Concept Formation; Geometric Concepts; Geometry; Grade 10; Grade 9; Man Machine Systems; Secondary School Mathematics; Spreadsheets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8S7BDSTZ","book","2022","Webb, C. Lorraine; Lindner, Amanda L.","","","978-1-6684-5478-7","","","","With the evolving technologies available to educators and the increased importance of including technologies in the classroom, it is critical for instructors to understand how to successfully utilize these emerging technologies within their curriculum. To ensure they are prepared, further study on the best practices and challenges of implementation is required. ""Preparing Pre-Service Teachers to Integrate Technology in K-12 Classrooms: Standards and Best Practices"" focuses on preparing future teachers to integrate technology into their everyday teaching by providing a compilation of current research surrounding the inclusion and utilization of technology as an educational tool. Covering key topics such as digital assessment, flipped classrooms, technology integration, and artificial intelligence, this reference work is ideal for teacher educators, administrators, stakeholders, researchers, academicians, scholars, practitioners, instructors, and students.","2022","2025-05-02 01:52:39","2025-05-02 01:52:39","","","","","","","","","","","","","IGI Global","","","","","","","","","ERIC Number: ED627514","","","http://eric.ed.gov/?id=ED627514","Artificial Intelligence; Elementary Secondary Education; Mathematics Instruction; Technology Integration; Educational Technology; Technological Literacy; 21st Century Skills; Assistive Technology; Best Practices; Computer Assisted Testing; Computer Oriented Programs; English (Second Language); Evaluation Methods; Flipped Classroom; Handheld Devices; Inclusion; Inquiry; Language Teachers; Learning Activities; Pedagogical Content Knowledge; Physical Education; Preservice Teacher Education; Preservice Teachers; Skill Development; Standards","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GGKJ4XHH","thesis","2023","Zhang, Ziyi","Introducing Reinforcement Learning to High School Students through the Integration of Physical Robots and Virtual Interfaces","","","","","","As artificial intelligence (AI) plays a more prominent role in our everyday lives, it becomes increasingly important to introduce basic AI concepts to K-12 students. Currently, most K-12 AI research focuses on introducing fundamental AI concepts using pure virtual platforms like webpages or software. However, robots, as helpful and popular tools in STEM (Science, Technology, Engineering, Math) education, are infrequently used in K-12 AI education, and their role is not sufficiently explored. In this thesis, I introduced educational robots and integrated them with an online platform and an augmented reality interface to help students learn key concepts in reinforcement learning (RL). I chose RL because it is conceptually easy to understand but has received the least attention in previous research on teaching AI to K-12 students. We designed a series of activities in which students can design their own robots and train them with RL to finish a variety of tasks. The activities and platforms were tested with two groups of high school students. Twenty students' engagement and learning results were assessed through qualitative analyses of their behavior and discussions by me and the class instructors. The role of robots and virtual platforms in motivating students and facilitating their learning was also discussed. The result showed that students were able to understand both high-level AI concepts and specific RL terms through our activities. Many students can even construct a deeper understanding of some of the RL concepts than we expected. Also, our approach of combining virtual platforms and physical robots provided students with an interactive and engaging learning experience. The implementation of robots inspired students' curiosity and solution diversity in resolving RL problems, while the integration of virtual platforms helped demystify key concepts of RL and enabled students to construct a deeper understanding of RL by providing them with an intuitive way to collaborate with their robots. [The dissertation citations contained here are published with the permission of ProQuest LLC. Further reproduction is prohibited without permission. Copies of dissertations may be obtained by Telephone (800) 1-800-521-0600. Web page: http://www.proquest.com/en-US/products/dissertations/individuals.shtml.]","2023","2025-05-02 01:52:39","2025-05-02 01:52:39","","","","","","","","","","","","","Tufts University","","","","","ProQuest LLC","","","","ISBN: 9798380338196 ERIC Number: ED638278","","","http://eric.ed.gov/?id=ED638278","Artificial Intelligence; Elementary Secondary Education; Educational Technology; High School Students; Concept Formation; Computer Simulation; Online Courses; Robotics; Student Motivation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BSYGP5GW","journalArticle","2021","Jones, Joshua","Integrating Machine Learning in Mathematics Classrooms","Mathematics Teacher: Learning and Teaching PK-12","","0025-5769","","","Aside from being culturally relevant, artificial intelligence is also supporting companies in making business decisions. Consequently, ""workforce needs have shifted rapidly,"" resulting in a demand for applicants who are skilled in ""data, analytics, machine learning, and artificial intelligence"" (Miller and Hughes 2017). This article contributes to filling that need by exploring a lesson in which students learned how conditional probability is the crux of many machine learning algorithms, including predictive text applications. Prior to this lesson, students learned how to calculate conditional probability. Most students had also demonstrated that they were able to calculate experimental probabilities on the basis of a Venn diagram, on a word problem, and on a two-way table. The activity described in this article satisfies Common Core State Standard CCSS.MATH.CONTENT.HSS. CP.A.5.","2021-08","2025-05-02 01:52:39","2025-05-02 01:52:39","","624-628","","8","114","","","","","","","","","","English","","","","","","","ERIC Number: EJ1306206","","","http://eric.ed.gov/?id=EJ1306206","Artificial Intelligence; Mathematics Instruction; Technology Uses in Education; Educational Technology; Prediction; High School Students; Teaching Methods; Man Machine Systems; Secondary School Mathematics; Probability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
