"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Teaching Geometric Probability via TI-nspire CX II CAS Handheld Graphing Calculator and Monte Carlo Methods in High School Mathematics Experiments","G. Dang; Z. Ren","School of Mathematical Sciences, Beijing Normal University, Beijing, China; College of Humanities & Education, Jiangmen Polytechnic, Jiangmen, China",2023 International Conference on Artificial Intelligence and Education (ICAIE),"7 Jun 2023","2023","","","88","90","Taking the approximate calculation of Pi as an example, this paper discusses how to use the TI-nspire CX II CAS handheld graphing calculator in high school mathematics teaching and mathematics experiments. Using statistical data analysis and Python language, respectively, two mathematical experiments are designed which can help students well understand the principles of the Monte Carlo method and numerical calculation of Pi by geometric probability model. This paper is a good practice case on how to apply information technology in mathematics experiments in high school.","","978-1-6654-7290-6","10.1109/ICAIE56796.2023.00032","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10143965","handheld graphing calculator;the Monte Carlo method;high school teaching;mathematics experiments","Surveys;Calculators;Monte Carlo methods;Education;Probability;Mathematics;Mathematical models","","","","9","IEEE","7 Jun 2023","","","IEEE","IEEE Conferences"
"AI-Driven Educational Transformation in Secondary Schools: Leveraging Data Insights for Inclusive Learning Environments","D. Duraes; R. Bezerra; P. Novais","Algoritmi Center/LASI, University of Minho, Braga, Portugal; Algoritmi Center/LASI, University of Minho, Braga, Portugal; Algoritmi Center/LASI, University of Minho, Braga, Portugal",2024 IEEE Global Engineering Education Conference (EDUCON),"8 Jul 2024","2024","","","1","9","In recent years, in the field of education, there has been a progressive trend towards teaching that is more personalised to students' characteristics and some models of prediction failure that are more accurate. In this sense, machine learning techniques have contributed to this realisation. This transformation has been significantly influenced by the integration of machine learning techniques, which have played a crucial role in harnessing data to enhance educational practices. This paper investigates the transformative potential of Artificial Intelligence (AI) within secondary education, focusing on the utilization of student assessment data and socioeconomic contextual information. The primary objective of this paper is to investigate the transformative potential of Artificial Intelligence (AI) within secondary education, with a specific focus on the utilization of student assessment data and socioeconomic contextual information. So, this paper explores the application of AI algorithms to create tailored learning pathways, adaptive support mechanisms, and targeted interventions that accommodate diverse student backgrounds. The integration of AI in secondary education is envisioned not only as a means to enhance academic outcomes but also as a tool to promote social equity and inclusivity. By leveraging data insights, educators can identify and respond to the unique needs of each student, fostering an environment where learning is optimized for individual growth. Furthermore, the paper scrutinizes the ethical considerations and challenges inherent in deploying AI systems in educational settings, emphasizing the pivotal role of equity, transparency, and data privacy in these implementations. This research aims to offer educators, policymakers, and stakeholder's insights into harnessing AI to foster adaptable, student-centric learning environments that bridge educational gaps and promote holistic academic development in secondary schools. Ethical guidelines and frameworks are discussed to ensure responsible AI deployment in educational contexts, safeguarding the rights and privacy of students. The data explored is taken from the management system of a secondary school in the municipality of Braga, relating to students taking Maths A, Maths B or Maths Applied to the Social Sciences (MACS). A total of 621 students were analysed, of which: 520 students attended Mathematics A in the Science and Technology and Socio-Economic Sciences courses, 20 attended Mathematics B in the Visual Arts course and 81 attended Mathematics Applied to Social Sciences in the Languages and Humanities course. The different maths subjects were analysed separately and at the end a comparative study was carried out between the three strands. Grounded in the analysis of these integrated datasets, the study sheds light on the pivotal role of AI in revolutionizing secondary school education. By closely examining student assessment data alongside socioeconomic indicators, such as academic performance and behavioral patterns, the paper identifies opportunities for AI integration to personalize learning experiences, address educational disparities, and cultivate inclusive learning environments. In Maths A there are 268 female and 252 male students. In Maths B there are 18 females and 2 males (most of the arts subjects are taken by women). In MACS the distribution is as follows: 45 female and 36 male. All these students, regardless of the area they chose at the start of secondary school, have in common the choice of Maths, however Maths A will be taken throughout secondary school, while the other two strands are only taken in the first two years of secondary school. Data fusuion techniques have achieved better performance in this type of study, since the models themselves combine the predictions of two or more base models.","2165-9567","979-8-3503-9402-3","10.1109/EDUCON60312.2024.10578910","FCT - Fundação para a Ciência e Tecnologia(grant numbers:UIDB/00319/2020); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10578910","Learning Environments;machine learning techniques;Secondary School","Visualization;Ethics;Art;Education;Machine learning;Predictive models;Mathematics","","","","26","IEEE","8 Jul 2024","","","IEEE","IEEE Conferences"
"Design Prototype of an AI-Assisted Platform for Enhancing Mathematical Modelling Instruction in Secondary Education","C. K. Lo; X. Huang; S. Xu; L. W. Ko; H. W. Cheung; W. F. Pang; T. K. Ho; Y. P. Lam; M. L. Poon; C. H. Mo","Department of Mathematics and Information Technology, The Education University of Hong Kong, Hong Kong SAR, China; Department of Mathematics and Information Technology, The Education University of Hong Kong, Hong Kong SAR, China; Department of Mathematics and Information Technology, The Education University of Hong Kong, Hong Kong SAR, China; evoke AI Limited, Hong Kong SAR, China; evoke AI Limited, Hong Kong SAR, China; evoke AI Limited, Hong Kong SAR, China; evoke AI Limited, Hong Kong SAR, China; evoke AI Limited, Hong Kong SAR, China; Salesians of Don Bosco Ng Siu Mui Secondary School, Hong Kong SAR, China; Salesians of Don Bosco Ng Siu Mui Secondary School, Hong Kong SAR, China",2024 6th International Workshop on Artificial Intelligence and Education (WAIE),"4 Mar 2025","2024","","","1","5","The integration of real-world applications in mathematics is a significant focus of the Hong Kong Special Administrative Region's educational policy. To enhance students' capabilities in this domain, embedding mathematical modelling into secondary education has been advocated. However, many teachers face challenges due to limited pedagogical knowledge and resources necessary for effective instruction in this area. To address this, we have initiated a project aimed at developing an AI-assisted platform that supports teachers in mathematical modelling instruction. The ADDIE (Analyse, Design, Develop, Implement, and Evaluate) model serves as the methodological foundation for this project. This paper outlines the preliminary design of this platform, highlighting its user interface and key features that leverage large language models for real-time interactions. In addition, we outline future plans for the platform's implementation and evaluation, contributing to the discourse on designing AI tools to bolster secondary education in mathematical modelling.","","979-8-3503-7889-4","10.1109/WAIE63876.2024.00008","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10904354","mathematics education;artificial intelligence;design and development;ADDIE model","Analytical models;Large language models;Conferences;Education;Prototypes;User interfaces;Mathematical models;Real-time systems;Faces","","","","27","IEEE","4 Mar 2025","","","IEEE","IEEE Conferences"
"The Impact of Augmented Reality on Student Learning and Emotions in Mathematics","P. R. Tlalpan","Mathematics Department, Mexico City Campus Tecnologico de Monterrey, PrepaTec (High School), Mexico",2021 Machine Learning-Driven Digital Technologies for Educational Innovation Workshop,"17 Mar 2022","2021","","","1","6","The objective of this intervention project was to evaluate the impact of learning activities strengthened with Augmented Reality (AR) in Mathematics and the generation of positive and negative emotions in students who attended the third semester of the ITESM high school, Mexico City campus, where there had been a high percentage of failed students taking the subject “Algebraic and Transcendent Functions.” Evaluating the academic performance and the students' emotions before and after carrying out the activities, we obtained a p-value of 0.0014 in the non-parametric Wilcoxon test, indicating a statistically significant change in acquired learning. AR activities were implemented using different pedagogical strategies. We attained statistically significant results, increasing students' grades by 68%, achieving a grade point average of 93.47 out of 100 in the topics covered. After the intervention, negative emotions decreased by 84.2%, and positive emotions increased by 85%. We concluded that AR is an excellent technological tool to support remote mathematics classes, changing how students interact. The results also indicated that changes in pedagogical strategies are essential to the successful implementation of the remote teaching modality; also, using various stimuli changed the emotions experienced by the students.","","978-1-6654-2763-0","10.1109/IEEECONF53024.2021.9733781","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9733781","Augmented Reality;Emotions;Pedagogical Strategy;Educational innovation","Technological innovation;Statistical analysis;Conferences;Urban areas;Education;Focusing;Collaborative work","","5","","11","IEEE","17 Mar 2022","","","IEEE","IEEE Conferences"
"Quantum Computing for High-School Students An Experience Report","P. P. Angara; U. Stege; A. MacLean","Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada; Department of Computer Science, University of Victoria, Victoria, Canada",2020 IEEE International Conference on Quantum Computing and Engineering (QCE),"25 Nov 2020","2020","","","323","329","Quantum computing is an emerging field that can revolutionize our ability to solve problems and enable breakthroughs in many areas including optimization, machine learning, chemistry, and drug design. With the increasing computational power of quantum computers and the proliferation of quantum development kits, the demand for a skilled workforce in quantum computing increases significantly. The theory of quantum computing lies at the crossroads of quantum physics, mathematics, and computer science. The field of quantum computing has matured and can now be explored by all students. While today, quantum computers and simulators are readily accessible and programmable over the internet, quantum computing education is just ramping up. This paper describes our experiences in organizing and delivering quantum computing workshops for high-school students with little or no experience in the abovementioned fields. We introduce students to the world of quantum computing in innovative ways, such as newly designed “unplugged” activities for teaching basic quantum computing concepts. Overall, we take a programmatic approach and introduce students to the IBM Q Experience using Qiskit and Jupyter notebooks. Our experiences and findings suggest that basic quantum computing concepts are palatable for high-school students, and-due to significant differences between classical and quantum computing-early exposure to quantum computing is a valuable addition to the set of problem-solving and computing skills that high-schoolers obtain before entering university.","","978-1-7281-8969-7","10.1109/QCE49297.2020.00047","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9259970","Quantum computing;education;training;high schoolers;teachers;workforce development;CS-unplugged;qubit systems;quantum gates;measurement;superposition;entanglement;quantum teleportation;Qiskit;quantum computing games","Quantum computing;Quantum mechanics;Games;Qubit;Conferences;Programming profession;Training","","8","","58","IEEE","25 Nov 2020","","","IEEE","IEEE Conferences"
"Research on Mental Health of Secondary Vocational School Students Addicted to Internet","D. Yang; Y. Chen; J. Xie","College of Computer Science and Engineering, Northwest Normal University, Lanzhou, China; College of Computer Science and Engineering, Northwest Normal University, Lanzhou, China; College of Mathematics and Informatics, Fujian Normal University, Fuzhou, China",2021 3rd International Workshop on Artificial Intelligence and Education (WAIE),"30 Mar 2022","2021","","","48","52","With the advent of the Internet era, the phenomenon of indulging in the Internet is becoming more and more common, especially secondary vocational students, because they have not been able to rationally deal with the temptation of the Internet. In order to reduce the phenomenon of secondary vocational school students' addiction to the Internet, this paper studies the psychology of vocational school students' addiction to the Internet, and provides corresponding solutions to this problem.","","978-1-6654-0068-8","10.1109/WAIE54146.2021.00018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9743180","Secondary vocational school;addiction;Internet;mental health;family education;school education","Conferences;Education;Mental health;Internet;Artificial intelligence","","","","13","IEEE","30 Mar 2022","","","IEEE","IEEE Conferences"
"A Study of Math Grade Prediction Models Combining Boosting and Decision Tree C5.0","M. Tang","School of Liberal Education, Jinan Engineering Polytechnic, Jinan, China","2024 7th International Conference on Education, Network and Information Technology (ICENIT)","14 Feb 2025","2024","","","181","186","With the speedy prosperity of science and technology, machine learning algorithms are commonly utilized in the field of classification and prediction due to their powerful data mining ability. Aiming at the problem of students' poor math performance, the study proposes a model that integrates Boosting algorithm into Decision Tree C5.0, and extracts the key factors affecting students' math performance using factor analysis. And the two were combined to construct a math achievement prediction model that integrates Boosting and Decision Tree C5.0. Subsequently, the performance of the model fusing Boosting and Decision Tree C5.0 was compared and analyzed with other models, and it was found that the accuracy and precision of the model were 0.968 and 0.912, separately, which were better than the comparison models. Then, the capability of the mathematical achievement prediction model was analyzed in comparison with other models, and the outcomes indicated that the mean prediction accuracy of the prediction model was 92.9%, which was significantly better than the comparison model. The above outcomes tell that the model raised in the study outperforms the comparison model considerably and is effective in predicting students' performance and providing a reference basis for math teachers to adjust their teaching strategies, which in turn improves students' motivation to learn.","","979-8-3503-7491-9","10.1109/ICENIT61951.2024.00040","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10873922","boosting;decision tree C5.0;math;achievement;prediction","Analytical models;Accuracy;Machine learning algorithms;Education;Predictive models;Boosting;Prediction algorithms;Mathematical models;Decision trees;Random forests","","","","20","IEEE","14 Feb 2025","","","IEEE","IEEE Conferences"
"Teachers’ Perspectives on Gender Equity in STEM: Beliefs, Challenges, and Opportunities","A. Ayuso-Lanchares; N. Merayo","Department of Pedagogy, Faculty of Medicine, University of Valladolid, Valladolid, Spain; Department of Signal Theory, Communications and Telematic Engineering, ETSI Telecomunicación, University of Valladolid, Valladolid, Spain",IEEE Revista Iberoamericana de Tecnologias del Aprendizaje,"23 Apr 2025","2025","20","","67","76","As the world rapidly digitizes, there is a growing emphasis on engaging young people, particularly girls, in STEM (Science, Technology, Engineering, and Mathematics) fields where they remain underrepresented. This study investigates the influence of primary and secondary school teachers on students’ STEM engagement within the Spanish education system, with a focus on gender equality. Using a descriptive correlational design, the research gathered responses from 664 teachers, revealing differences in beliefs and practices between primary and secondary educators regarding STEM promotion. The findings indicate that while primary teachers often emphasize career opportunities, secondary teachers focus on explaining STEM study content. Interestingly, only a minority of teachers (30-40%) report receiving gender equality training, underscoring a need for better teacher education in this area. The study also identifies key gender-related barriers, including stereotypes, lack of female role models, and limited STEM career visibility. These barriers are compounded by societal pressures, leading to fewer women in technology-related studies. The results call for education systems to enhance curricula with gender-sensitive practices and align primary and secondary teaching approaches to cultivate technological interest from an early age. Improved STEM training for teachers, as well as activities that promote female role models, can foster a supportive environment for girls. This study contributes to understanding the role of educators in shaping STEM aspirations and highlights the urgent need for systemic changes to address the gender gap in STEM fields.","1932-8540","","10.1109/RITA.2025.3554310","Teaching Innovation Project titled “InGenias: Fomentando vocaciones tecnológicas y la divulgación científica" [InGenias: Promoting Technological Vocations and Scientific Outreach],” funded by the Vice-Rectorate for Teaching Innovation and Digital Transformation at the University of Valladolid.; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10938410","Technological vocations;gender gap;teacher education;primary school teachers;secondary school teachers","Training;Europe;Data mining;Artificial intelligence;Internet of Things;Image color analysis;Gender equity;Big Data","","","","63","IEEE","25 Mar 2025","","","IEEE","IEEE Journals"
"Robobo SmartCity: An Autonomous Driving Model for Computational Intelligence Learning Through Educational Robotics","M. Naya-Varela; S. Guerreiro-Santalla; T. Baamonde; F. Bellas","Integrated Group for Engineering Research of the CITIC Research Center, University of Coruña, Ferrol, Spain; Integrated Group for Engineering Research of the CITIC Research Center, University of Coruña, Ferrol, Spain; Integrated Group for Engineering Research of the CITIC Research Center, University of Coruña, Ferrol, Spain; Integrated Group for Engineering Research of the CITIC Research Center, University of Coruña, Ferrol, Spain",IEEE Transactions on Learning Technologies,"15 Aug 2023","2023","16","4","543","559","This article presents the Robobo SmartCity model, an educational resource to introduce students to computational intelligence (CI) topics using educational robotics as the core learning technology. Robobo SmartCity allows educators to train learners in artificial intelligence (AI) fundamentals from a feasible and practical perspective, following the recommendations of digital education plans to introduce AI at all educational levels. This resource is based on the Robobo educational robot and an autonomous driving setup. It is made up of a city mockup, simulation models, and programming libraries adapted to the students’ skill level. In it, students can be trained in CI topics that support robot autonomy, as computer vision, machine learning, or human–robot interaction, while developing solutions in the motivating and challenging scope of autonomous driving. The main details of this open resource are provided with a set of possible challenges to be faced in it. They are organized in terms of the educational level and students’ skills. The resource has been mainly tested with secondary and high school students, obtaining successful learning outcomes, presented here to inspire other teachers in taking advantage of this learning technology in their classes.","1939-1382","","10.1109/TLT.2023.3244604","European Commission(grant numbers:2019-1-ES01-KA201-065742); Centro de Investigación de Galicia; Xunta de Galicia(grant numbers:ED431G 2019/01); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10043750","Computational intelligence (CI);educational robots;educational simulations;machine learning;mobile and personal devices;robot programming;science;technology;engineering;and mathematics (STEM)","Robots;Robot sensing systems;Artificial intelligence;Computational modeling;Adaptation models;Sensors;Educational robots","","13","","67","IEEE","13 Feb 2023","","","IEEE","IEEE Journals"
"Cybersecurity Education in High School: Exploring Cyber Assets, Cyber Value at Risk, and Authentic Assessment","P. Vajpayee; G. Hossain","Dept. of Information Science, University of North Texas, Denton, TX; Dept. of Information Science, University of North Texas, Denton, TX",2024 IEEE Frontiers in Education Conference (FIE),"26 Feb 2025","2024","","","1","9","In the realm of cybersecurity, a knowledge chasm exists among high school students. High school students face a significant gap in cybersecurity knowledge, essential for safeguarding the digital environment. This educational deficit renders them vulnerable to cyber threats, compromising personal and school-wide digital security. The global shortage of cybersecurity professionals exacerbates the issue, threatening future defenses against cyberattacks. This paper introduces Cyber Value-at-Risk (CVaR), a concept adapted from finance, to evaluate the risk to digital assets. It outlines a model using basic math and probability to assess and mitigate risks to these cyber assets, which include data, vulnerability, and potential negative impacts like financial or reputational loss at the time of cyber incident. The approach equates cyber assets to financial terms-assets, liabilities, and capital-to demonstrate how additional countermeasures can reduce cyber asset value. The paper emphasizes the importance of consistent cybersecurity practices, akin to the effects of compound interest, and aims to demystify cybersecurity for students using financial literacy and mathematical concepts. The paper uses the proposed method to calculate cyber risks for the prominent cyber-attacks such as Phishing, DDoS, Data breach, Ransom ware, and loT Vulnerabilities in the context of school. It further explains the value of problem based learning and provides an authentic assessment framework to establish a practical learning of cybersecurity concepts for high school students. Finally, it advocates for the integration of security measures in internet use, covering authentication, authorization, encryption, firewall, secure connections, and systems' upgrade to reduce cyber risks. With the rise of online education, gaming, social media, and digitalization, cyber awareness is crucial for high school students. The criticality of internet security is making cyber knowledge an urgent educational priority. Due to growing demand of loT and artificial intelligence (AI), the paper suggests future research about explaining cyber risks to high school students using machine learning, human behavior, and system anomalies.","2377-634X","979-8-3503-5150-7","10.1109/FIE61694.2024.10893209","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10893209","Cybersecurity;Cyber Value at Risk (CVaR);Probability;Financial literacy;Cyber Threats;Authentic Assessment","Education;Finance;Authentication;Machine learning;Data breach;Encryption;Behavioral sciences;Compounds;Computer security;Cyberattack","","","","36","IEEE","26 Feb 2025","","","IEEE","IEEE Conferences"
