"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Publisher","Language of Original Document","Document Type","Publication Stage","Open Access","Source","EID"
"Ariana L.E.; Sutama","Ariana, Lily Eka (58876029700); Sutama (57208798189)","58876029700; 57208798189","Chatbot interactive multimedia based on artificial intelligence: Improving mathematical communication skills in middle school students","2024","AIP Conference Proceedings","2926","1","020057","","","","0","10.1063/5.0182858","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184581161&doi=10.1063%2f5.0182858&partnerID=40&md5=468583bd57f77c2695743978eeb2884d","The aims of this study were 1) to explore the learning media used by class VIII teachers at SMPN 1 Surakarta in teaching mathematics, 2) to apply chatbot interactive media to teaching mathematics in junior high schools dan 3) to Describe students' mathematical communication, abilities. This research method is R&D with the ADDIE research design. The research subjects were 31 students of class VIII A at SMPN 1 Surakarta. Data collection methods in this study used interviews, observation, pre-test and post-test. The data analysis technique used the normality test, the Shapiro-Wilk homogeneity test, and the product effectiveness test used the Paired Samples t-test. The study's results, 1) The percentage of the affective aspect shows an increase 2) The cognitive aspect: normality test obtained 0.132 > 0.05 and 0.125 > 0.05 so as the distribution of pre-test and post-test data is normally distributed; the homogeneity test with Levene Statistics obtained sig 0.763, where 0.763 > 0.05 so that the group of students with pre-test and post-test treatment from the same population; t test paired sample test with the mean pre-test is 41.94, and the mean post-test is 79.71 obtained t_count = -17.459<t_table = -2.04 so that there is a difference between pre-test and post-test. 3) The pre test and post test are integrated with indicators of mathematical communication ability. It can be seen from results (1) and (2) that there is an increase in students' mathematical communication ability after using chatbots. Therefore, interactive chatbot effectively improve students' mathematical communication skills.  © 2024 Author(s).","","","American Institute of Physics Inc.","English","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85184581161"
"Li M.Z.","Li, Max Z. (59353466700)","59353466700","Using Prompt Engineering to Enhance STEM Education","2024","2024 IEEE Integrated STEM Education Conference, ISEC 2024","","","","","","","0","10.1109/ISEC61299.2024.10664775","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205599515&doi=10.1109%2fISEC61299.2024.10664775&partnerID=40&md5=408d50ed41718c273d950f447f40c541","With the advent of large language models (LLMs), such as ChatGPT, Gemini and LLaMA, there is no doubt that AI will forever change how education works. However, there is a gap between K-12 students and the LLM. The prompts given to LLM need to be well designed to be effectively utilized for K-12 education. To use LLMs more appropriately for K-12 STEM educational purposes, the author developed a prototype tool with prompt engineering to fully utilize the educational potential of LLMs and reduce usage for academic dishonesty. The tool would have a student register by giving the grade that they're in, and then ask as the topic the student would like to learn more about. Using prompt engineering techniques, the tool can prompt LLMs to produce educational content such as a descriptions, question and answer, AI-generated quizzes, and reviews, as well as asking the LLM to simplifying complex topics further to aid in understanding. The AI-enabled tool, effectively a virtual and personal mentor, could help propel STEM education further and make STEM more interesting to students as it could help explain complex topics in a way that students can understand easily. The tool and AI can help students understand a topic through interactive practice instead of just memorizing facts and putting them on a sheet of paper. The tool present in this paper will enhance the STEP education by AI. © 2024 IEEE.","","Artificial intelligence; Engineering education; STEM (science, technology, engineering and mathematics); Academic dishonesty; Educational contents; Educational potential; Engineering techniques; Interactive practice; K-12 education; Language model; Learn+; Prototype tools; STEM education; Students","Institute of Electrical and Electronics Engineers Inc.","English","Conference paper","Final","","Scopus","2-s2.0-85205599515"
"Venugopalan D.; Yan Z.; Borchers C.; Lin J.; Aleven V.","Venugopalan, Devika (59510365600); Yan, Ziwen (59699505100); Borchers, Conrad (57224723719); Lin, Jionghao (57211753281); Aleven, Vincent (6602528401)","59510365600; 59699505100; 57224723719; 57211753281; 6602528401","Combining Large Language Models with Tutoring System Intelligence: A Case Study in Caregiver Homework Support","2025","15th  International Conference on Learning Analytics and Knowledge, LAK 2025","","","","373","383","10","0","10.1145/3706468.3706516","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000440085&doi=10.1145%2f3706468.3706516&partnerID=40&md5=caff949293694b44ff48b3ed60261556","Caregivers (i.e., parents and members of a child's caring community) are underappreciated stakeholders in learning analytics. Although caregiver involvement can enhance student academic outcomes, many obstacles hinder involvement, most notably knowledge gaps with respect to modern school curricula. An emerging topic of interest in learning analytics is hybrid tutoring, which includes instructional and motivational support. Caregivers assert similar roles in homework, yet it is unknown how learning analytics can support them. Our past work with caregivers suggested that conversational support is a promising method of providing caregivers with the guidance needed to effectively support student learning. We developed a system that provides instructional support to caregivers through conversational recommendations generated by a Large Language Model (LLM). Addressing known instructional limitations of LLMs, we use instructional intelligence from tutoring systems while conducting prompt engineering experiments with the open-source Llama 3 LLM. This LLM generated message recommendations for caregivers supporting their child's math practice via chat. Few-shot prompting and combining real-time problem-solving context from tutoring systems with examples of tutoring practices yielded desirable message recommendations. These recommendations were evaluated with ten middle school caregivers, who valued recommendations facilitating content-level support and student metacognition through self-explanation. We contribute insights into how tutoring systems can best be merged with LLMs to support hybrid tutoring settings through conversational assistance, facilitating effective caregiver involvement in tutoring systems. © 2025 Copyright held by the owner/author(s).","caregivers; hybrid tutoring; K-12; large language models; mathematics education; tutoring systems","Adversarial machine learning; Contrastive Learning; Curricula; Open source software; Teaching; Caregiver; Case-studies; Community IS; Hybrid tutoring; K-12; Language model; Large language model; Mathematics education; System intelligence; Tutoring system; Students","Association for Computing Machinery, Inc","English","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-105000440085"
"Mgonja T.; Robles F.","Mgonja, Thomas (57482489900); Robles, Francisco (57481857700)","57482489900; 57481857700","Identifying Critical Factors When Predicting Remedial Mathematics Completion Rates","2024","Journal of College Student Retention: Research, Theory and Practice","26","2","","355","377","22","0","10.1177/15210251221083314","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126058124&doi=10.1177%2f15210251221083314&partnerID=40&md5=d26a660b84fe618479acbcdb006f591b","Completion of remedial mathematics has been identified as one of the keys to college success. However, completion rates in remedial mathematics have been low and are of much debate across America. This study leverages machine learning techniques in trying to predict and understand completion rates in remedial mathematics. The purpose of this study is to build machine learning models that can predict students that are least likely to complete remedial mathematics and identify which factors are most influential when computing those predictions. The study discovers random forest as the highest performing model. Furthermore, the study reveals that the remedial course a student begins with, credit completion rate, math placement score, and high school G.P.A as the most influential predictors of completion rates. The study also offers future research directions, especially in how to improve the performance of the machine learning models. © The Author(s) 2022.","machine learning; mathematics education; mathematics remediation","","SAGE Publications Inc.","English","Article","Final","","Scopus","2-s2.0-85126058124"
"Guo S.; Zheng Y.; Zhai X.","Guo, Shuchen (57205345951); Zheng, Yuanyuan (58872382100); Zhai, Xiaoming (57192683367)","57205345951; 58872382100; 57192683367","Artificial intelligence in education research during 2013–2023: A review based on bibliometric analysis","2024","Education and Information Technologies","29","13","","16387","16409","22","27","10.1007/s10639-024-12491-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184505607&doi=10.1007%2fs10639-024-12491-8&partnerID=40&md5=a44e9d67d656a4ea3585de9f4eeca5b6","Research on Artificial Intelligence in Education (AIED) has rapidly progressed in recent years, and understanding the research trends and development is essential for technological innovations and implementations in education. Using a bibliometric analysis of 6843 publications from Web of Science and Scopus, we found that China, US, India, Spain, and Germany led the research profuctivity. AIED research is concerned more with higher education compared to K-12 education. Fifteen research trends emerged from the analysis, such as Educational Robots and Large Data Mining. Research has primarily leveraged technologies of machine learning, decision trees, deep learning, speech recognition, and computer vision in AIED. The major implementations of AI include educational robots, automated grading, recommender systems, learning analytics, and intelligent tutoring systems. Among the implementations, a majority of AIED research was conducted in seven major subject domains, chief among them being science, technology, engineering and mathematics (STEM) and language disciplines, with a focus on computer science and English education. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.","AI in education (AIED); Artificial intelligence (AI); Bibliometric analysis; Citespace software; Machine learning (ML)","","Springer","English","Article","Final","","Scopus","2-s2.0-85184505607"
"Thareja R.; Dwivedi D.; Garg R.; Baghel S.; Shukla J.; Mohania M.","Thareja, Rushil (57223977813); Dwivedi, Deep (57740850400); Garg, Ritik (57487641000); Baghel, Shiva (58656236100); Shukla, Jainendra (57027180600); Mohania, Mukesh (57191242897)","57223977813; 57740850400; 57487641000; 58656236100; 57027180600; 57191242897","Video Analysis Engine for Predicting Effectiveness","2025","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics) ","15322 LNCS","","","97","112","15","0","10.1007/978-3-031-78312-8_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212247577&doi=10.1007%2f978-3-031-78312-8_7&partnerID=40&md5=af364b063448f8b373698baf30706953","In the realm of digital education, the growing use of short-form online videos, coupled with innovative generative AI methods, has dramatically expanded the production of didactic academic videos. This shift, however, underscores a critical question - how to ascertain the ""effectiveness"" of these videos for student learning? It is essential to devise a classification mechanism that filters videos for clarity, comprehensibility, and their capacity to meet student learning objectives. The automated evaluation of these learning videos holds substantial implications for student academic performance. Accordingly, this paper presents a novel supervised-learning-based approach, predicated on video feature analysis, to predict the effectiveness of K-12 science and mathematics videos. Our method integrates diverse features such as image, spoken text, and audio, among other hand-crafted elements, to accurately assess video effectiveness. We conduct an evaluation of our approach using a comprehensive dataset comprised of 3,134 short-form academic videos. The results demonstrate robust performance, with the system achieving an accuracy of 76.1% and an F1 score of 80.6%. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","AI for Education; Computer Vision; Deep Learning; E-learning; Multimodal Frameworks; Natural Language Processing; Video Processing","Adversarial machine learning; Computer vision; Contrastive Learning; Deep learning; Federated learning; Natural language processing systems; Self-supervised learning; Students; Supervised learning; AI for education; Deep learning; E - learning; Language processing; Multimodal frameworks; Natural language processing; Natural languages; Student learning; Video analysis; Video processing; Video analysis","Springer Science and Business Media Deutschland GmbH","English","Conference paper","Final","","Scopus","2-s2.0-85212247577"
"Annuš N.; Kmeť T.","Annuš, Norbert (57863444900); Kmeť, Tibor (37088882300)","57863444900; 37088882300","Learn with M.E.—Let Us Boost Personalized Learning in K-12 Math Education!","2024","Education Sciences","14","7","773","","","","1","10.3390/educsci14070773","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199581732&doi=10.3390%2feducsci14070773&partnerID=40&md5=739abbbc5fe23112398f0d176f311ac4","The traditional educational system, in certain aspects, limits personalized learning. This is mainly evident in the fact that average students, who do not have any learning difficulties, are required to solve the same tasks from the same textbook in the same order. Artificial intelligence and other smart learning tools present great opportunities for implementing a personalized learning system. Our previous surveys and literature reviews also show that educators see the greatest potential in personalized education for the assimilation of artificial intelligence into education. In this context, we have developed educational software called “Learn with M.E. as Math Educator”, which facilitates more personalized teaching of basic mathematical operations. This study presents the structure and operation of this application. We tested the usability of the software in several institutions. Our research target group consists of elementary school students, specifically those aged 11–15. This article provides a detailed overview of the accuracy and educational outcomes of the completed application. We evaluated the application and its effectiveness using both qualitative and quantitative methods. Our research design combined elements of educational technology development and effectiveness assessment. To evaluate student performance, we employed a control group methodology. Data were analyzed by comparing test results between students using the software and those receiving traditional instruction. We examined user satisfaction through survey questionnaires. Teachers’ opinions were gathered through structured interviews, and their responses were categorized using a SWOT analysis. The findings indicated that the use of the software significantly improved students’ mathematics performance compared to the control group. Students provided positive feedback on the software’s user interface, describing it as user-friendly and motivating. Teachers regarded the software as an effective educational tool, facilitating differentiated instruction and enhancing student engagement. The results suggest that digital educational tools, such as the developed software, can provide substantial added value in education. © 2024 by the authors.","educational software; Learn with M.E; personalized learning; STEM education","","Multidisciplinary Digital Publishing Institute (MDPI)","English","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85199581732"
"Le N.; Taherdoost H.","Le, Nam (58307119400); Taherdoost, Hamed (35119811000)","58307119400; 35119811000","Pervasive AI and IoT in STEAM Education: Advancing Future Learning Through Intelligent Systems and Computational Technologies","2025","2025 International Conference on Pervasive Computational Technologies, ICPCT 2025","","","","736","741","5","0","10.1109/ICPCT64145.2025.10940569","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002854295&doi=10.1109%2fICPCT64145.2025.10940569&partnerID=40&md5=977f1a80ced4db52dc3b098f59b6962b","As artificial intelligence (AI) continues to transform various sectors, its integration within education, particularly in STEAM (Science, Technology, Engineering, Arts, and Mathematics) education, is gaining momentum. This paper explores how AI can enhance STEAM education for K-12 students, preparing them for a rapidly evolving digital world. A review of current literature demonstrates that AI technologies, including virtual reality, augmented reality, machine learning, and IoT, can revolutionize both teaching and learning by promoting critical thinking, creativity, and problem-solving skills. AI-driven tools like ChatGPT, learning analytics, and chatbots provide personalized learning experiences, making education more interactive and engaging. The paper also highlights AI's role in fostering inclusivity and bridging gender gaps within STEAM, particularly in arts education. Furthermore, the paper examines the challenges of AI integration, such as teacher readiness, trust in technology, and the need for professional development. The findings underscore AI's potential to empower educators and students alike, suggesting a roadmap for AI-enhanced STEAM education aligned with sustainable development goals. This research advocates for incorporating AI literacy in curricula to equip students with essential skills for the future. © 2025 IEEE.","AI Literacy; Artificial Intelligence; Critical Thinking; IoT in Education; Personalized Learning; K-12 Education; STEAM Education; Teacher Readiness","Augmented reality; Curricula; Economic analysis; Economic and social effects; Engineering education; Learning systems; Machine learning; Personnel training; Steam engineering; Teaching; Virtual reality; Virtualization; Art educations; Artificial intelligence literacy; Critical thinking; IoT in education;; K-12 education; Mathematics education; Personalized learning; Science education; Science technologies; Teacher readiness; Teachers'; Technology education; Students","Institute of Electrical and Electronics Engineers Inc.","English","Conference paper","Final","","Scopus","2-s2.0-105002854295"
"Payadnya I.P.A.A.; Putri G.A.M.A.; Suwija I.K.; Saelee S.; Jayantika I.G.A.N.T.","Payadnya, I Putu Ade Andre (57209026644); Putri, Gusti Ayu Made Arna (57208163882); Suwija, I Ketut (57552032900); Saelee, Sompob (52364789100); Jayantika, I Gusti Agung Ngurah Trisna (57211918419)","57209026644; 57208163882; 57552032900; 52364789100; 57211918419","Cultural integration in AI-enhanced mathematics education: insights from Southeast Asian educators","2025","Journal for Multicultural Education","19","1","","58","72","14","0","10.1108/JME-09-2024-0119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211593684&doi=10.1108%2fJME-09-2024-0119&partnerID=40&md5=1d45def23abc580bab431af9d0b08db9","Purpose: Artificial intelligence (AI) is increasingly used in education, yet its cultural impact, especially in Southeast Asian mathematics education, remains underexplored. This gap is significant because understanding cultural adaptation is essential for AI tools to effectively enhance learning in diverse classrooms. This study examines how AI can be integrated into mathematics education across Southeast Asia, focusing on specific cultural practices such as communal learning styles, respect for hierarchical structures and the role of local languages, as well as educators’ perspectives. Design/methodology/approach: A mixed-methods approach was used, combining quantitative data from questionnaires with qualitative insights from interviews with educators across ten Southeast Asian countries. The study included 543 respondents in total with the numbers is varying in each country, targeting high school teachers experienced in using AI in teaching. Findings: The findings revealed that educators in Singapore are most confident in AI’s adaptability to cultural contexts, whereas those in Myanmar and Laos face challenges due to infrastructure limitations. Interviews highlighted the need to customize AI tools to align with students’ cultural backgrounds, including language preferences and traditional learning practices, for effective implementation. Teacher training and access to technology, especially in rural areas, were also identified as critical factors. Originality/value: This study addresses a critical gap in understanding AI’s cultural implications in Southeast Asia, providing insights into how cultural values, language and educational practices influence the integration of AI in mathematics education. The findings highlight the need for culturally responsive AI tools and targeted improvements in infrastructure and teacher training for successful implementation. © 2024, Emerald Publishing Limited.","Artificial intelligence; Cultural context; Mathematics education; Mixed-methods; Southeast Asia","","Emerald Publishing","English","Article","Final","","Scopus","2-s2.0-85211593684"
"Xing W.; Li C.","Xing, Wanli (55983407600); Li, Chenglu (57208421439)","55983407600; 57208421439","Fair artificial intelligence to support STEM Education: A Hitchhiker's guide","2024","Uses of Artificial Intelligence in STEM Education","","","","522","546","24","0","10.1093/oso/9780198882077.003.0023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212910896&doi=10.1093%2foso%2f9780198882077.003.0023&partnerID=40&md5=0a53127335d61253c6a31a51a267bdd6","Artificial intelligence (AI) incorporates the applications of machine-learning systems dominantly within the automated assessment and intelligent tutoring systems. These AI applications have promising potential to increase capacity within science, technology, engineering, and mathematics (STEM) education by supporting the social and cognitive development and learning experiences of students. Despite the affordances, AI applications pose critical ethical and societal challenges; and the issues of ethics and power of AI are largely absent from the discussions of formal or informal K-12 STEM education. Therefore, this chapter aims to bring a critical discourse on (a) the benefits and affordances of AI systems in K-12 STEM education, (b) what counts as an ethical AI system and what macro-ethical issues surround AI systems in education, and (c) what critical pedagogical approaches can be used to teach and raise critical consciousness about the macro-ethical issues of AI in STEM education. © Oxford University Press 2024. All rights reserved.","AI and ethics; AI in K-12 STEM education; Ethical and societal aspects of AI; STEM teacher education","","Oxford University Press","English","Book chapter","Final","","Scopus","2-s2.0-85212910896"
