Authors;Article Title;Source Title;DOI;Document Type;Publication Year;Abstract;ISSN;eISSN
"Tamai, Teruyuki; Okamoto, Katsuya; Iuchi, Keisuke; Kawada, Kazuo";Development of Teaching Material to Design a Vehicle on Data Science in Junior High School Technology Education;IEEJ TRANSACTIONS ON ELECTRICAL AND ELECTRONIC ENGINEERING;10.1002/tee.23437;Article;2021;The Society 5.0, advocated by the Japanese government in 2016, represents the society of the near future. In this context, the development and securing of human resources in mathematics, data science, and AI are urgent issues to promote technological innovation in the future. In this paper, a teaching material specializing in chassis of the vehicle performance in junior high school technology education was developed. The students manufactured their own teaching materials and evaluated them based on the data. The problems were identified and redesigned and remanufactured to solve them. The proposed class was practiced by students who were going to become teachers in a teacher training course, junior high school technology education. The results showed the educational effect of the material. In addition, a 13-h lesson plan that is the basis of The Lower Secondary School National Curriculum Standard was proposed. (c) 2021 Institute of Electrical Engineers of Japan. Published by Wiley Periodicals LLC.;1931-4973;1931-4981
Daoudi, Mohammed;Moroccan Teachers' Perceptions About Integrating Historical Contexts and AI in the Seamless Transition from Classical to Quantum Mechanics;AFRICAN JOURNAL OF RESEARCH IN MATHEMATICS SCIENCE AND TECHNOLOGY EDUCATION;10.1080/18117295.2025.2460911;"Article; Early Access";2025;This article critically examines deficiencies in the final year high school programme, particularly in the Physics-Chemistry and Mathematics A and B specialties, focusing on the inadequate transition from classical to quantum mechanics. Based on teachers' perceptions, the study analyses the value of integrating artificial intelligence (AI) and historical science narratives to address the complex relationship between classical and quantum mechanics. The analysis reveals a disjointed narrative hindering students' understanding during the critical transition phase, emphasising the insufficiency of a single lesson, 'Atom and Newton's Mechanics' at the academic year's end. The proposed comprehensive methodology for curriculum revision aims to seamlessly integrate historical narratives into the educational framework, providing a nuanced understanding of the interconnectedness between classical and quantum mechanics. The discussion emphasises the potential positive impacts on student engagement, comprehension and enthusiasm for physics, extending beyond content adjustments to transform pedagogical strategies. The conclusion highlights the broader significance of these changes for science education, suggesting a curriculum overhaul informed by historical narratives and AI integration could shape a generation of scientifically literate individuals, adept at navigating contemporary physics complexities. The article serves as a call to action for teachers, curriculum developers and policymakers to innovate high school science education in line with the dynamic nature of scientific discovery.;1811-7295;2469-7656
"Cetinkaya, Ali; Baykan, Omer Kaan; Kirgiz, Havva";Analysis of Machine Learning Classification Approaches for Predicting Students' Programming Aptitude;SUSTAINABILITY;10.3390/su151712917;Article;2023;With the increasing prevalence and significance of computer programming, a crucial challenge that lies ahead of teachers and parents is to identify students adept at computer programming and direct them to relevant programming fields. As most studies on students' coding abilities focus on elementary, high school, and university students in developed countries, we aimed to determine the coding abilities of middle school students in Turkey. We first administered a three-part spatial test to 600 secondary school students, of whom 400 completed the survey and the 20-level Classic Maze course on Code.org. We then employed four machine learning (ML) algorithms, namely, support vector machine (SVM), decision tree, k-nearest neighbor, and quadratic discriminant to classify the coding abilities of these students using spatial test and Code.org platform data. SVM yielded the most accurate results and can thus be considered a suitable ML technique to determine the coding abilities of participants. This article promotes quality education and coding skills for workforce development and sustainable industrialization, aligned with the United Nations Sustainable Development Goals.;;2071-1050
"Rebai, Sonia; Ben Yahia, Fatma; Essid, Hedi";A graphically based machine learning approach to predict secondary schools performance in Tunisia;SOCIO-ECONOMIC PLANNING SCIENCES;10.1016/j.seps.2019.06.009;Article;2020;The main purpose of this paper is to identify the key factors that impact schools' academic performance and to explore their relationships through a two-stage analysis based on a sample of Tunisian secondary schools. In the first stage, we use the Directional Distance Function approach (DDF) to deal with undesirable outputs. The DDF is estimated using Data Envelopment Analysis method (DEA). In the second stage we apply machine-learning approaches (regression trees and random forests) to identify and visualize variables that are associated with a high school performance. The data is extracted from the Program for International Student Assessment (PISA) 2012 survey. The first stage analysis shows that almost 22% of Tunisian schools are efficient and that they could improve their students' educational performance by 15.6% while using the same level of resources. Regression trees findings indicate that the most important factors associated with higher performance are school size, competition, class size, parental pressure and proportion of girls. Only, school location appears with no impact on school efficiency. Random forests algorithm outcomes display that proportion of girls at school and school size have the most powerful impact on the predictive accuracy of our model and hence could more influence school efficiency. The findings disclose also the high non-linearity of the relationships between these key factors and school performance and reveal the importance of modeling their interactions in influencing efficiency scores.;0038-0121;1873-6041
"Li Tan; Main, Joyce B.; Darolia, Rajeev";Using random forest analysis to identify student demographic and high school-level factors that predict college engineering major choice;JOURNAL OF ENGINEERING EDUCATION;10.1002/jee.20393;Article;2021;"Background Given the importance of engineers to a nation's economy and potential innovation, it is imperative to encourage more students to consider engineering as a college major. Previous studies have identified a broad range of high school experiences and demographic factors associated with engineering major choice; however, these factors have rarely been ranked or ordered by relative importance.Purpose/Hypothesis This study leveraged comprehensive, longitudinal data to identify which high school-level factors, including high school characteristics and student high school experiences as well as student demographic characteristics and background, rank as most important in terms of predictive power of engineering major choice.Design/Method Using data from a nationally representative survey, the High School Longitudinal Study of 2009, and the random forest method, a genre of machine learning, the most important high school-level factors in terms of predictive power of engineering major choice were ranked.Results Random forest results indicate that student gender is the most important variable predicting engineering major choice, followed by high school math achievement and student beliefs and interests in math and science during high school.Conclusions Gender differences in engineering major choice suggest wider ranging cultural phenomena that need further investigation and systemic interventions. Research findings also highlight two other areas for potential interventions to promote engineering major choice: high school math achievement and beliefs and interests in math and science. Focusing interventions in these areas may lead to an increase in the number of students pursuing engineering.";1069-4730;2168-9830
"Yu, Yang; Fan, Jinfu; Xian, Yuanqing; Wang, Zhongjie";Graph Neural Network for Senior High Student's Grade Prediction;APPLIED SCIENCES-BASEL;10.3390/app12083881;Article;2022;Senior high school education (SHSE) forms a connecting link between the preceding junior high school education and the following college education. Through SHSE, a student not only completes k-12 education, but also lays a foundation for subsequent higher education. The grade of the student in SHSE plays a critical role in college application and admission. Therefore, utilizing the grade of the student as an indicator is a reasonable method to instruct and ensure the effect of SHSE. However, due to the complexity and nonlinearity of the grade prediction problem, it is hard to predict the grade accurately. In this paper, a novel grade prediction model aiming to handle the complexity and nonlinearity is proposed to accurately predict the grade of the senior high student. To deal with the complexity, a graph structure is employed to represent the students' grades in all subjects. To handle the nonlinearity, the multi-layer perceptron (MLP) is used to learn (or fit) the inner relation of the subject grades. The proposed grade prediction model based on graph neural network is tested on the dataset of Ningbo Xiaoshi High School. The results show that the proposed method performs well in the prediction of senior high school student grades.;;2076-3417
"Lockhart, Mary Elizabeth; Kwok, Oi-Man; Yoon, Myeongsun; Wong, Raymond";An important component to investigating STEM persistence: the development and validation of the science identity (SciID) scale;INTERNATIONAL JOURNAL OF STEM EDUCATION;10.1186/s40594-022-00351-1;Article;2022;Background Science, technology, engineering, and mathematics (STEM) influence almost every aspect of our daily lives. However, despite the high demand for STEM occupational talent, the STEM pipeline continues leaking, with less than one-sixth of high school students pursuing STEM majors and only 50% of entering STEM college majors matriculating into STEM fields. Science identity has been identified as the most powerful predictor of high school students pursuing an undergraduate STEM major as reported by Chang (Machine learning approach to predicting STEM college major choice, American Educational Research Association (AERA), San Francisco, 2020). Though the construct is gaining lots of attention, it remains largely ill-defined, not operationalized at the high school level, and not based upon traditional identity theory. The purpose of this study was to develop a valid and reliable instrument that measures high school students' science identity, the Science Identity (SciID) Scale. Results Subject experts and a small group of high school students provided content validation for the proposed scale. Exploratory factor analysis revealed an optimal two-factor solution, reflecting the traditional two-dimensions of identity theory: Exploration and Commitment. Cronbach's alpha revealed good internal consistency for both factors. Finally, structural equation modeling confirmed the convergent validity of the instrument with the external variables of science achievement and science career interest. Furthermore, the divergent validity between science identity and science self-concept was also confirmed. Conclusions Initial results indicate that the SciID Scale is a valid and reliable instrument that accurately measures a high school student's standing on this construct. The soundness of this instrument will enable policy makers and practitioners to design more effective intervention programs aimed at cultivating high school students' science identity.;2196-7822;
"Priulla, Andrea; Albano, Alessandro; D'Angelo, Nicoletta; Attanasio, Massimo";Predicting university enrollment choices in Italy: a machine learning analysis of high school background and gender differences;HIGHER EDUCATION;10.1007/s10734-025-01424-0;"Article; Early Access";2025;This paper explores the influence of Italian high school students' proficiency in mathematics and the Italian language on their university enrollment choices, specifically focusing on STEM (Science, Technology, Engineering, and Mathematics) courses. We distinguish between students from scientific and humanistic backgrounds in high school, providing valuable insights into their enrollment preferences. Furthermore, we investigate potential demographic differences in response to similar previous educational choices and achievements. The study employs gradient boosting methodology, known for its high predicting performance and ability to capture non-linear relationships within data, and adjusts for variables related to the socio-demographic characteristics of the students and their previous educational achievements. Our analysis reveals significant differences in the enrollment choices based on previous high school achievements. The findings shed light on the complex interplay of academic proficiency, gender, and high school background in shaping students' choices regarding university education, with implications for educational policy and future research endeavors.;0018-1560;1573-174X
"Naya-Varela, Martin; Guerreiro-Santalla, Sara; Baamonde, Tamara; Bellas, Francisco";Robobo SmartCity: An Autonomous Driving Model for Computational Intelligence Learning Through Educational Robotics;IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES;10.1109/TLT.2023.3244604;Article;2023;This article presents the Robobo SmartCity model, an educational resource to introduce students to computational intelligence (CI) topics using educational robotics as the core learning technology. Robobo SmartCity allows educators to train learners in artificial intelligence (AI) fundamentals from a feasible and practical perspective, following the recommendations of digital education plans to introduce AI at all educational levels. This resource is based on the Robobo educational robot and an autonomous driving setup. It is made up of a city mockup, simulation models, and programming libraries adapted to the students' skill level. In it, students can be trained in CI topics that support robot autonomy, as computer vision, machine learning, or human-robot interaction, while developing solutions in the motivating and challenging scope of autonomous driving. The main details of this open resource are provided with a set of possible challenges to be faced in it. They are organized in terms of the educational level and students' skills. The resource has been mainly tested with secondary and high school students, obtaining successful learning outcomes, presented here to inspire other teachers in taking advantage of this learning technology in their classes.;1939-1382;
"Wang, Guangming; Chen, Xia; Zhang, Dongli; Kang, Yueyuan; Wang, Fang; Su, Mingyu";Development and Application of an Intelligent Assessment System for Mathematics Learning Strategy among High School Students-Take Jianzha County as an Example;SUSTAINABILITY;10.3390/su141912265;Article;2022;"To improve the quality of mathematics learning for high school students in economically disadvantaged areas, and promote education equity and sustainable development, this study developed the Mathematics Learning Strategies Intelligent Assessment and Strategy Implementation System by using artificial intelligence technology. The system fuses assessment scales, a set of norms, improvement strategies, and the intelligent assessment and strategy implementation program into an organic whole. The system can intelligently output all participants' diagnosis results of the mathematics learning strategy in batches and automatically propose targeted improvement strategies for every participant. By applying the intelligent system to Jianzha County, Huangnan Tibetan Autonomous Prefecture, Qinghai Province, China, the results show that the mathematical learning strategies of high school students in Jianzha County were at a middle level; mathematical cognitive strategies and mathematical resource-management strategies need to be improved. The system's effectiveness in practical applications was later tested via both quantitative methods, such as questionnaire surveys and testing, and qualitative methods, such as interviews, as well as evaluation by self and others. By intervening with participants according to the strategy implementation program provided by the system, it was found that their mathematics learning strategy level improved. The results of the study show that the system can accurately diagnose the level of mathematics learning strategies of high school students and that interventions based on the improvement measures can improve students' mathematics learning strategy and mathematics achievements, indicating that the system is effective.";;2071-1050
"Zhong, Maosheng; Kuang, Jiangling; Liu, GanLin; Hua, Xin; Wu, Jiahua";The Dynamic Vectors-Based Attention Model for Chinese Mathematical Term Extraction;IEEE INTELLIGENT SYSTEMS;10.1109/MIS.2023.3246240;Article;2023;Term extraction aims to extract domain-specific terminology from documents. Secondary school mathematics terminology plays a guiding role in the learning and teaching of secondary school mathematics. We found that there needs to be more work in this field and that there are two main issues in extracting the terms from the middle school mathematics text: the polysemy of one character problem and nested terms problem. Accordingly, we have constructed a secondary school mathematics corpus and proposed a model to resolve these problems, termed BERT-LLA-CRF. Using pretraining to obtain dynamic word vectors to improve the model's understanding of text semantics and solve the problem of multiple meanings of one word, the proposed model integrates attention mechanisms and Chinese character information to solve the nested terminology problem. The experiment results show that the proposed model effectively solves those problems and achieves good middle-school mathematics term extraction results.;1541-1672;1941-1294
"Tabakova-Komsalova, Veneta; Stoyanov, Ivan; Cholakov, George; Maglizhanova, Magdalena";Introducing Artificial Intelligence to Secondary Schools Through STEM Learning and the Logic Programming Language Prolog;TEM JOURNAL-TECHNOLOGY EDUCATION MANAGEMENT INFORMATICS;10.18421/TEM134-56;Article;2024;- This article proposes a project aimed at introducing secondary school students to artificial intelligence and logic programming using the Prolog language. In commemoration of the 50th anniversary of Prolog's development, the authors participate in the international initiative Prolog Education and Thinking through the Digital Bulgaria in Prolog activity, implemented in Bulgarian secondary schools. The article offers a concise overview of a STEM (Science, Technology, Engineering, and Mathematics) educational program and training for secondary school students in Bulgaria. STEM serves as a project-based learning approach, fostering students' understanding of multiple disciplines and utilizing diverse technologies to enhance their skills. Additionally, the article showcases examples of student initiatives spanning natural sciences, informatics, humanities, culture, and art, illustrating the interdisciplinary nature of STEM education.;2217-8309;2217-8333
"Souto-Maior, Joao M.; Shroff, Ravi";Differences in Academic Preparedness Do Not Fully Explain Black-White Enrollment Disparities in Ad-vanced High School Coursework;SOCIOLOGICAL SCIENCE;10.15195/v11.a6;Article;2024;Whether racial disparities in enrollment in advanced high school coursework can be attributed to differences in prior academic preparation is a central question in sociological research and education policy. However, previous investigations face methodological limitations, for they compare race -specific enrollment rates of students after adjusting for characteristics only partially related to their academic preparedness for advanced coursework. Informed by a recently -developed statistical technique, we propose and estimate a novel measure of students' academic preparedness and use administrative data from the New York City Department of Education to measure differences in Advanced Placement (AP) mathematics enrollment rates among similarly prepared students of different races. We find that preexisting differences in academic preparation do not fully explain the under -representation of Black students relative to White students in AP mathematics. Our results imply that achieving equal opportunities for AP enrollment not only requires equalizing earlier academic experiences, but also addressing inequities that emerge from coursework placement processes.;;2330-6696
